Grid,Hotspot,week,month,year,near
609,0,0,0,1,27
610,1,0,0,12,23
611,1,0,1,7,26
612,0,0,0,7,32
613,1,0,0,11,20
614,1,0,0,1,29
615,0,0,1,5,39
616,1,0,1,18,66
617,1,1,2,27,72
618,1,1,2,16,59
619,0,0,0,3,33
620,0,0,0,1,14
621,0,0,0,0,2
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,2
627,0,0,0,0,2
628,0,0,0,0,2
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,4
633,0,0,0,4,6
634,0,0,0,0,10
635,0,0,0,0,6
636,0,0,0,0,0
637,0,0,0,0,0
638,0,0,0,0,7
639,1,0,0,2,5
640,0,0,0,0,7
641,0,0,0,0,2
642,0,0,0,0,2
643,0,0,0,0,2
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,7
647,0,0,0,0,7
648,0,0,0,0,7
649,0,0,0,0,0
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,2
653,0,0,0,0,2
654,0,0,0,0,2
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,0,0
658,0,0,0,0,0
659,0,0,0,0,0
660,0,0,0,0,0
661,0,0,0,0,0
662,0,0,0,0,0
663,0,0,0,0,0
664,0,0,0,0,0
665,0,0,0,0,22
666,0,0,0,0,49
667,1,0,2,2,57
668,0,0,2,5,44
669,0,0,0,0,29
670,0,0,0,0,26
671,0,0,0,0,25
672,0,0,0,0,19
673,0,0,0,0,24
674,0,0,0,1,58
675,0,0,0,19,70
676,0,0,0,4,90
677,0,0,0,1,55
678,0,0,0,5,21
679,0,0,0,0,9
680,0,0,0,0,1
681,0,0,0,0,1
682,0,0,0,0,1
683,0,0,0,0,1
684,0,0,0,0,0
685,0,0,0,0,2
686,0,0,0,2,0
687,0,0,0,0,2
688,0,0,0,0,0
689,0,0,0,0,0
690,0,0,0,0,0
691,0,0,0,0,4
692,0,0,0,0,7
693,0,0,0,3,4
694,0,0,0,0,3
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,11
698,0,1,1,5,6
699,0,0,0,0,11
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,0,1
704,0,0,0,0,1
705,0,0,0,0,5
706,0,0,0,4,0
707,0,0,0,0,4
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,1
711,0,0,0,0,3
712,0,0,0,0,3
713,0,0,0,0,2
714,0,0,0,0,0
715,0,0,0,0,0
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,30
725,1,0,5,22,35
726,1,0,0,25,42
727,0,0,0,4,33
728,0,0,0,0,10
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,7
733,0,0,0,6,29
734,1,0,1,9,31
735,0,0,0,0,35
736,0,0,0,0,12
737,0,0,0,0,8
738,0,0,0,0,7
739,0,0,0,0,2
740,0,0,0,0,2
741,0,0,0,1,4
742,0,0,0,0,5
743,0,0,0,0,3
744,0,0,0,0,2
745,0,0,0,0,2
746,0,0,0,0,2
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,3
752,0,0,0,0,3
753,0,0,0,0,3
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,9
757,0,0,0,4,5
758,1,0,0,0,9
759,0,0,0,0,0
760,0,0,0,0,0
761,0,0,0,0,0
762,0,0,0,0,1
763,0,0,1,1,0
764,0,0,0,0,5
765,0,0,0,0,4
766,0,0,0,0,4
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,0,0,1
770,1,0,0,1,2
771,0,0,0,2,1
772,0,0,0,0,2
773,0,0,0,0,2
774,0,0,0,0,2
775,0,0,0,0,2
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,1
781,0,0,0,0,3
782,0,0,0,0,15
783,0,0,0,0,54
784,1,0,0,8,70
785,0,0,0,0,71
786,0,0,0,1,30
787,0,0,0,0,5
788,0,0,0,0,0
789,0,0,0,0,0
790,0,0,0,0,3
791,0,0,0,0,10
792,0,0,0,0,24
793,0,0,0,0,22
794,0,0,0,1,15
795,0,0,0,1,1
796,0,0,0,0,2
797,0,0,0,1,1
798,1,0,0,1,1
799,0,0,0,0,1
800,0,0,0,0,2
801,0,0,0,1,4
802,0,0,0,3,2
803,0,0,0,0,3
804,0,0,0,0,0
805,0,0,0,0,0
806,0,0,0,0,0
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,1
811,0,0,0,0,3
812,0,0,0,0,7
813,0,0,0,0,6
814,0,0,0,0,4
815,0,0,0,0,0
816,0,0,0,0,4
817,1,0,0,0,4
818,0,0,0,0,4
819,0,0,0,0,0
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,1
823,0,0,0,0,1
824,0,0,0,0,1
825,0,0,0,0,0
826,0,0,0,0,0
827,0,0,0,0,0
828,0,0,0,0,0
829,0,0,0,0,1
830,0,0,0,0,4
831,0,0,0,0,4
832,0,0,0,0,3
833,0,0,0,0,4
834,0,0,0,2,2
835,0,0,0,0,4
836,0,0,0,0,0
837,0,0,0,0,0
838,0,0,0,0,0
839,0,0,0,0,2
840,0,0,0,0,8
841,0,0,0,1,23
842,0,0,0,2,34
843,1,0,1,12,38
844,1,0,1,10,26
845,0,0,0,1,23
846,0,0,0,0,4
847,0,0,0,0,2
848,0,0,0,0,0
849,0,0,0,0,0
850,0,0,0,0,3
851,0,0,1,3,4
852,0,0,0,1,20
853,1,0,0,5,14
854,0,0,0,0,16
855,0,0,0,0,2
856,0,0,0,0,2
857,0,0,0,0,2
858,0,0,0,0,2
859,0,0,0,0,1
860,0,0,0,0,4
861,0,0,0,0,4
862,0,0,0,0,3
863,0,0,0,0,0
864,0,0,0,0,0
865,0,0,0,0,0
866,0,0,0,0,0
867,0,0,0,0,0
868,0,0,0,0,0
869,0,0,0,0,5
870,0,0,0,1,8
871,0,0,0,2,13
872,1,0,0,4,6
873,0,0,0,0,6
874,0,0,0,0,0
875,0,0,0,0,0
876,0,0,0,0,2
877,0,0,0,0,10
878,0,0,0,0,10
879,0,0,0,0,8
880,0,0,0,0,0
881,0,0,0,0,0
882,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
885,0,0,0,0,0
886,0,0,0,0,0
887,0,0,0,0,2
888,0,0,0,0,2
889,0,0,0,0,3
890,0,0,0,1,0
891,0,0,0,0,1
892,0,0,0,0,4
893,0,0,0,2,2
894,0,0,0,0,7
895,0,0,0,0,3
896,0,0,0,0,4
897,0,0,0,0,7
898,0,0,0,0,26
899,0,0,0,2,43
900,0,0,0,5,64
901,1,0,1,14,64
902,0,0,0,2,68
903,0,0,0,2,40
904,0,0,0,1,14
905,0,0,0,1,2
906,0,0,0,0,4
907,0,0,0,0,3
908,0,0,0,0,3
909,0,0,0,0,3
910,0,0,0,0,7
911,0,0,0,3,18
912,1,0,0,9,9
913,0,0,0,0,14
914,0,0,0,0,0
915,0,0,0,0,0
916,0,0,0,0,0
917,0,0,0,0,0
918,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
921,0,0,0,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,3
925,1,0,0,0,4
926,0,0,0,0,4
927,0,0,0,0,1
928,0,0,0,0,6
929,0,0,0,4,11
930,0,0,0,2,20
931,0,0,0,2,14
932,0,0,0,0,7
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,2
936,0,0,0,2,16
937,0,0,5,8,10
938,0,0,0,0,16
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,2
945,0,0,0,0,2
946,0,0,0,0,10
947,0,0,0,2,8
948,0,0,0,0,12
949,0,0,0,0,4
950,0,0,0,0,2
951,0,0,0,0,2
952,0,0,0,0,2
953,0,0,0,0,5
954,0,0,0,3,0
955,0,0,0,0,4
956,0,0,0,1,16
957,1,0,1,6,39
958,0,0,1,17,66
959,0,0,1,14,101
960,1,0,1,14,102
961,1,0,1,14,65
962,0,0,0,0,32
963,0,0,0,0,4
964,0,0,0,0,5
965,0,0,0,0,9
966,0,0,0,3,6
967,0,0,0,0,8
968,0,0,0,0,3
969,0,0,0,0,5
970,0,0,0,0,12
971,0,0,0,0,12
972,0,0,0,0,9
973,0,0,0,0,0
974,0,0,0,0,0
975,0,0,0,0,2
976,0,0,0,0,2
977,0,0,0,0,2
978,0,0,0,0,0
979,0,0,0,0,1
980,0,0,0,0,1
981,0,0,0,0,2
982,0,0,0,0,4
983,0,0,0,3,2
984,0,0,1,1,3
985,0,0,0,0,1
986,0,0,0,0,7
987,1,0,0,1,18
988,1,0,0,5,20
989,0,0,0,1,17
990,0,0,0,0,6
991,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,2
994,0,0,0,0,23
995,1,0,0,8,15
996,0,0,0,0,21
997,0,0,0,0,1
998,0,0,0,0,1
999,0,0,0,0,1
1000,0,0,0,0,0
1001,0,0,0,0,0
1002,0,0,0,0,2
1003,0,0,0,2,1
1004,0,0,0,0,11
1005,0,0,0,6,8
1006,0,0,0,2,18
1007,0,0,0,1,11
1008,0,0,0,0,7
1009,0,0,0,0,0
1010,0,0,0,0,0
1011,0,0,0,0,3
1012,0,0,0,0,4
1013,0,0,0,0,24
1014,0,0,0,0,45
1015,1,1,3,10,67
1016,0,0,0,9,118
1017,1,2,2,20,134
1018,1,0,0,20,145
1019,1,0,0,13,83
1020,0,0,0,0,45
1021,0,0,0,0,2
1022,0,0,0,0,6
1023,1,0,0,3,9
1024,0,0,0,2,12
1025,0,0,1,1,10
1026,1,0,0,2,3
1027,0,0,0,0,2
1028,0,0,0,0,0
1029,0,0,0,0,0
1030,0,0,0,0,0
1031,0,0,0,0,0
1032,0,0,0,0,0
1033,0,0,0,0,2
1034,0,0,1,2,0
1035,0,0,0,0,2
1036,0,0,0,0,0
1037,0,0,0,0,0
1038,0,0,0,0,1
1039,0,0,0,1,0
1040,0,0,0,0,2
1041,0,0,0,1,3
1042,0,0,0,0,5
1043,0,0,0,0,4
1044,0,0,0,0,1
1045,0,0,0,0,3
1046,0,0,0,2,11
1047,0,0,0,5,12
1048,0,0,0,3,11
1049,0,0,0,0,4
1050,0,0,0,0,0
1051,0,0,0,0,0
1052,0,0,0,0,1
1053,0,0,0,0,14
1054,0,0,1,5,9
1055,0,0,0,0,15
1056,0,0,0,0,4
1057,0,0,0,1,3
1058,0,0,0,0,2
1059,0,0,0,0,0
1060,0,0,0,0,0
1061,0,0,0,0,2
1062,0,0,0,0,3
1063,0,0,0,1,12
1064,0,0,0,0,18
1065,0,0,0,3,24
1066,0,0,0,6,11
1067,1,0,0,0,10
1068,0,0,0,0,0
1069,0,0,0,0,1
1070,0,0,0,0,1
1071,0,0,0,0,2
1072,0,0,0,1,26
1073,1,1,3,19,33
1074,0,0,0,8,64
1075,0,0,0,7,107
1076,1,0,2,36,96
1077,0,0,3,17,126
1078,1,0,2,17,67
1079,1,0,0,1,42
1080,0,0,0,0,12
1081,0,0,0,1,7
1082,0,0,0,2,7
1083,0,0,0,1,10
1084,0,0,1,2,6
1085,0,0,0,0,5
1086,0,0,0,0,2
1087,0,0,0,0,0
1088,0,0,0,0,0
1089,0,0,0,0,0
1090,0,0,0,0,0
1091,0,0,0,0,0
1092,0,0,0,0,2
1093,0,0,0,0,2
1094,0,0,0,0,2
1095,0,0,0,0,0
1096,0,0,0,0,0
1097,0,0,0,0,1
1098,0,0,0,0,1
1099,0,0,0,0,2
1100,0,0,0,0,1
1101,0,0,0,0,1
1102,0,0,0,0,0
1103,0,0,0,0,1
1104,0,0,0,0,3
1105,0,0,0,0,8
1106,0,0,0,0,10
1107,0,0,0,0,8
1108,0,0,0,0,3
1109,0,0,0,0,0
1110,0,0,0,0,0
1111,0,0,0,0,1
1112,0,0,0,1,5
1113,0,0,0,0,6
1114,0,0,0,0,7
1115,0,0,2,2,3
1116,0,0,0,1,5
1117,0,0,0,0,5
1118,0,0,0,0,2
1119,0,0,0,0,1
1120,0,0,0,0,1
1121,0,0,0,0,4
1122,0,0,0,0,22
1123,0,0,1,4,24
1124,0,0,1,2,36
1125,0,0,1,3,22
1126,0,0,0,0,18
1127,0,0,0,0,6
1128,0,0,0,0,9
1129,0,0,0,1,16
1130,0,0,0,0,17
1131,0,0,0,0,35
1132,1,1,2,7,52
1133,1,0,1,7,73
1134,1,0,0,5,118
1135,0,0,1,12,103
1136,0,0,0,6,107
1137,1,0,0,2,63
1138,0,2,2,8,39
1139,0,0,0,2,36
1140,0,0,0,0,19
1141,0,0,0,0,14
1142,0,0,0,0,5
1143,0,0,0,0,3
1144,0,0,0,0,2
1145,0,0,0,0,0
1146,0,0,0,0,0
1147,0,0,0,0,0
1148,0,0,0,0,0
1149,0,0,0,0,0
1150,0,0,0,0,1
1151,0,0,0,0,1
