Grid,Hotspot,week,month,year,near
609,0,0,0,0,20
610,0,0,0,10,15
611,0,0,0,5,22
612,0,0,0,6,30
613,0,0,0,14,19
614,0,0,0,3,29
615,0,0,0,5,37
616,0,0,0,16,49
617,0,0,0,18,55
618,0,0,0,8,41
619,0,0,0,1,21
620,0,0,0,1,8
621,0,0,0,0,1
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,3
627,0,0,0,0,3
628,0,0,0,0,3
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,3
633,0,0,0,2,6
634,0,0,0,0,8
635,0,0,0,0,5
636,0,0,0,0,0
637,0,0,0,0,0
638,0,0,0,0,4
639,0,0,0,1,3
640,0,0,0,0,4
641,0,0,0,0,0
642,0,0,0,0,0
643,0,0,0,0,0
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,7
647,0,0,0,0,10
648,0,0,0,0,10
649,0,0,0,0,3
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,2
653,0,0,0,0,2
654,0,0,0,0,2
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,0,0
658,0,0,0,0,0
659,0,0,0,0,0
660,0,0,0,0,0
661,0,0,0,0,0
662,0,0,0,0,0
663,0,0,0,0,0
664,0,0,0,0,0
665,0,0,0,0,21
666,0,0,0,0,42
667,0,0,0,3,43
668,0,0,0,4,31
669,0,0,0,0,19
670,0,0,0,0,21
671,0,0,0,0,25
672,0,0,0,0,23
673,0,0,0,0,24
674,0,0,0,0,50
675,0,0,0,13,55
676,0,0,0,3,66
677,0,0,0,0,32
678,0,0,0,2,10
679,0,0,0,0,4
680,0,0,0,0,1
681,0,0,0,0,1
682,0,0,0,0,1
683,0,0,0,0,1
684,0,0,0,0,0
685,0,0,0,0,3
686,0,0,0,3,0
687,0,0,0,0,3
688,0,0,0,0,0
689,0,0,0,0,0
690,0,0,0,0,0
691,0,0,0,0,2
692,0,0,0,0,5
693,0,0,0,3,2
694,0,0,0,0,3
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,7
698,0,0,0,3,5
699,0,0,0,0,8
700,0,0,0,0,1
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,0,1
704,0,0,0,0,1
705,0,0,0,0,5
706,0,0,0,4,3
707,0,0,0,3,4
708,0,0,0,0,3
709,0,0,0,0,0
710,0,0,0,0,2
711,0,0,0,0,3
712,0,0,0,0,3
713,0,0,0,0,1
714,0,0,0,0,0
715,0,0,0,0,0
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,32
725,0,0,0,21,32
726,0,0,0,18,40
727,0,0,0,0,27
728,0,0,0,0,6
729,0,0,0,0,1
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,2
733,0,0,0,2,24
734,0,1,1,11,18
735,0,0,0,0,27
736,0,0,0,0,5
737,0,0,0,0,2
738,0,0,0,0,3
739,0,0,0,0,1
740,0,0,0,0,2
741,0,0,0,1,3
742,0,0,0,0,4
743,0,0,0,0,2
744,0,0,0,0,3
745,0,0,0,0,3
746,0,0,0,0,3
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,3
752,0,0,0,0,3
753,0,0,0,0,3
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,8
757,0,0,0,3,6
758,0,0,0,1,8
759,0,0,0,0,1
760,0,0,0,0,0
761,0,0,0,0,1
762,0,0,0,0,2
763,0,0,0,1,1
764,0,0,0,0,5
765,0,0,0,0,7
766,0,0,0,0,7
767,0,0,0,0,3
768,0,0,0,0,0
769,0,0,0,0,2
770,0,0,0,2,1
771,0,0,0,1,2
772,0,0,0,0,1
773,0,0,0,0,0
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,1
781,0,0,0,0,3
782,0,0,0,0,14
783,0,0,0,0,53
784,0,0,0,11,58
785,0,0,0,0,59
786,1,0,0,1,19
787,0,0,0,1,1
788,0,0,0,0,1
789,0,0,0,0,0
790,0,0,0,0,3
791,0,0,0,0,6
792,0,0,0,0,22
793,0,0,0,0,19
794,0,0,0,0,16
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,1
798,0,0,0,1,0
799,0,0,0,0,1
800,0,0,0,0,2
801,0,0,0,1,3
802,0,0,0,2,2
803,0,0,0,0,2
804,0,0,0,0,0
805,0,0,0,0,0
806,0,0,0,0,0
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,0
811,0,0,0,0,0
812,0,0,0,0,5
813,0,0,0,0,5
814,0,0,0,0,5
815,0,0,0,0,0
816,0,0,0,0,5
817,0,0,0,2,4
818,0,0,0,0,6
819,0,0,0,0,1
820,0,0,0,0,0
821,0,0,0,0,1
822,0,0,0,1,1
823,0,0,0,0,2
824,0,0,0,0,1
825,0,0,0,0,0
826,0,0,0,0,0
827,0,0,0,0,0
828,0,0,0,0,0
829,0,0,0,0,2
830,0,0,0,0,3
831,0,0,0,0,3
832,0,0,0,0,1
833,0,0,0,0,1
834,0,0,0,0,1
835,0,0,0,0,1
836,0,0,0,0,0
837,0,0,0,0,0
838,0,0,0,0,0
839,0,0,0,0,1
840,0,0,0,0,3
841,0,0,0,1,14
842,0,0,0,2,25
843,0,0,0,11,34
844,0,0,0,8,25
845,0,0,0,0,22
846,0,0,0,0,3
847,0,0,0,0,3
848,0,0,0,0,1
849,0,0,0,0,0
850,0,0,0,0,3
851,0,0,0,3,4
852,0,0,0,1,18
853,0,0,0,5,11
854,0,0,0,0,12
855,0,0,0,0,0
856,0,0,0,0,0
857,0,0,0,0,1
858,0,0,0,0,1
859,0,0,0,0,1
860,0,0,0,0,3
861,0,0,0,0,3
862,0,0,0,0,2
863,0,0,0,0,0
864,0,0,0,0,0
865,0,0,0,0,1
866,0,0,0,0,1
867,0,0,0,0,1
868,0,0,0,0,0
869,0,0,0,0,0
870,0,0,0,0,3
871,0,0,0,0,10
872,0,0,0,5,5
873,0,0,0,0,7
874,0,0,0,0,0
875,0,0,0,0,3
876,0,0,0,0,4
877,0,0,0,0,11
878,0,0,0,0,8
879,0,0,0,0,7
880,0,0,0,0,1
881,0,0,0,0,1
882,0,0,0,0,1
883,0,0,0,0,0
884,0,0,0,0,0
885,0,0,0,0,0
886,0,0,0,0,0
887,0,0,0,0,2
888,0,0,0,0,2
889,0,0,0,0,2
890,0,0,0,0,0
891,0,0,0,0,0
892,0,0,0,0,1
893,0,0,0,1,0
894,0,0,0,0,4
895,0,0,0,0,3
896,0,0,0,0,4
897,0,0,0,0,6
898,0,0,0,0,20
899,0,0,0,1,32
900,1,0,0,1,52
901,0,0,0,10,61
902,0,0,0,2,64
903,0,0,0,1,40
904,0,0,0,0,10
905,0,0,0,1,0
906,0,0,0,0,3
907,0,0,0,0,2
908,0,0,0,0,2
909,0,0,0,0,4
910,0,0,0,0,8
911,0,0,0,3,17
912,0,0,0,7,9
913,0,0,0,0,12
914,0,0,0,0,0
915,0,0,0,0,0
916,0,0,0,0,0
917,0,0,0,0,0
918,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
921,0,0,0,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,1
925,0,0,0,1,1
926,0,0,0,0,2
927,0,0,0,0,1
928,0,0,0,0,1
929,0,0,0,0,10
930,0,0,0,3,15
931,0,0,0,2,15
932,0,0,0,0,8
933,0,0,0,0,0
934,0,0,0,0,1
935,0,0,0,1,1
936,0,0,0,1,15
937,0,0,0,7,8
938,0,0,0,0,14
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,2
945,0,0,0,0,2
946,0,0,0,0,9
947,0,0,0,2,7
948,0,0,0,0,12
949,0,0,0,0,5
950,0,0,0,0,3
951,0,0,0,0,1
952,0,0,0,0,1
953,0,0,0,0,4
954,0,0,0,3,0
955,0,0,0,0,4
956,0,0,0,1,17
957,0,0,0,5,30
958,0,0,0,13,57
959,0,0,0,12,84
960,1,0,0,13,99
961,1,0,1,19,58
962,0,0,0,0,34
963,0,0,0,0,2
964,0,0,0,0,7
965,0,0,0,0,10
966,0,0,0,2,10
967,0,0,0,0,10
968,0,0,0,0,8
969,0,0,0,1,8
970,0,0,0,0,12
971,0,0,0,0,11
972,0,0,0,0,7
973,0,0,0,0,0
974,0,0,0,0,0
975,0,0,0,0,2
976,0,0,0,0,2
977,0,0,0,0,2
978,0,0,0,0,0
979,0,0,0,0,1
980,0,0,0,0,1
981,0,0,0,0,2
982,0,0,0,0,2
983,0,0,0,0,3
984,0,0,0,1,1
985,0,0,0,0,1
986,0,0,0,0,3
987,0,0,0,1,14
988,0,0,0,6,15
989,0,0,0,1,17
990,0,0,0,0,6
991,0,0,0,0,0
992,0,0,0,0,1
993,0,0,0,0,3
994,0,0,0,0,24
995,0,0,0,7,16
996,0,0,0,0,21
997,0,0,0,0,1
998,0,0,0,0,1
999,0,0,0,0,1
1000,0,0,0,0,0
1001,0,0,0,0,0
1002,0,0,0,0,2
1003,0,0,0,2,0
1004,0,0,0,0,10
1005,0,0,0,5,5
1006,0,0,0,2,15
1007,0,0,0,3,11
1008,0,0,0,0,12
1009,0,0,0,0,5
1010,0,0,0,0,0
1011,0,0,0,0,3
1012,0,0,0,0,4
1013,0,0,0,0,25
1014,0,0,0,0,45
1015,1,0,0,12,51
1016,0,0,0,3,100
1017,1,0,0,23,99
1018,0,0,0,20,123
1019,0,0,0,12,73
1020,0,0,0,0,43
1021,0,0,0,0,5
1022,0,0,0,0,8
1023,0,0,0,6,6
1024,0,0,0,1,13
1025,0,0,1,3,9
1026,0,0,0,4,5
1027,0,0,0,0,6
1028,0,0,1,1,1
1029,0,0,0,0,1
1030,0,0,0,0,0
1031,0,0,0,0,0
1032,0,0,0,0,0
1033,0,0,0,0,2
1034,0,0,0,2,0
1035,0,0,0,0,2
1036,0,0,0,0,0
1037,0,0,0,0,0
1038,0,0,0,0,1
1039,0,0,0,1,0
1040,0,0,0,0,2
1041,0,0,0,1,0
1042,0,0,0,0,2
1043,0,0,0,0,1
1044,0,0,0,0,1
1045,0,0,0,0,3
1046,0,0,0,2,10
1047,0,0,1,3,13
1048,0,0,0,3,10
1049,0,0,0,0,4
1050,0,0,0,0,0
1051,0,0,0,0,0
1052,0,0,0,0,2
1053,0,0,0,1,15
1054,0,0,0,7,9
1055,0,0,0,0,16
1056,0,0,0,0,4
1057,0,0,0,1,3
1058,0,0,0,0,2
1059,0,0,0,0,0
1060,0,0,0,0,0
1061,0,0,0,0,2
1062,0,0,0,0,2
1063,0,0,0,0,12
1064,0,0,1,1,13
1065,0,0,0,0,26
1066,0,0,0,4,17
1067,0,0,0,5,12
1068,0,0,0,0,5
1069,0,0,0,0,1
1070,0,0,0,0,1
1071,0,0,0,0,2
1072,0,0,0,1,27
1073,0,0,1,20,34
1074,0,0,0,6,58
1075,0,0,1,3,96
1076,1,0,0,26,78
1077,0,0,0,9,106
1078,0,0,0,9,55
1079,0,0,0,3,31
1080,0,0,0,0,14
1081,0,0,0,2,7
1082,0,0,0,0,10
1083,0,0,0,1,11
1084,0,0,0,1,9
1085,0,0,0,0,8
1086,0,0,0,0,5
1087,0,0,0,0,1
1088,0,0,0,0,1
1089,0,0,0,0,0
1090,0,0,0,0,0
1091,0,0,0,0,0
1092,0,0,0,0,2
1093,0,0,0,0,2
1094,0,0,0,0,2
1095,0,0,0,0,0
1096,0,0,0,0,0
1097,0,0,0,0,1
1098,0,0,0,0,1
1099,0,0,0,0,2
1100,0,0,0,0,1
1101,0,0,0,0,1
1102,0,0,0,0,0
1103,0,0,0,0,0
1104,0,0,0,0,2
1105,0,0,0,0,5
1106,0,0,0,0,8
1107,0,0,0,0,6
1108,0,0,0,0,3
1109,0,0,0,0,0
1110,0,0,0,0,0
1111,0,0,0,0,2
1112,0,0,0,1,8
1113,0,0,0,0,9
1114,0,0,0,0,9
1115,0,0,0,2,4
1116,0,0,0,1,7
1117,0,0,0,0,6
1118,0,0,0,0,2
1119,0,0,0,0,0
1120,0,0,0,0,1
1121,0,0,0,0,3
1122,0,0,0,0,25
1123,0,0,0,4,23
1124,0,0,0,2,34
1125,0,0,0,5,20
1126,0,0,0,0,22
1127,0,0,0,0,12
1128,0,0,0,0,6
1129,0,0,0,1,10
1130,0,0,0,0,11
1131,0,0,0,0,33
1132,0,0,0,7,49
1133,0,0,0,8,61
1134,0,0,0,5,97
1135,0,0,0,13,73
1136,0,0,0,2,81
1137,0,0,0,1,39
1138,0,0,0,8,22
1139,0,0,0,1,24
1140,0,0,0,0,8
1141,0,0,0,0,7
1142,0,0,0,0,2
1143,0,0,0,0,2
1144,0,0,0,0,2
1145,0,0,0,0,1
1146,0,0,0,0,1
1147,0,0,0,0,0
1148,0,0,0,0,0
1149,0,0,0,0,0
1150,0,0,0,0,1
1151,0,0,0,0,1
